NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CARTILAGE DEVELOPMENT%GOBP%GO:0051216	CARTILAGE DEVELOPMENT%GOBP%GO:0051216		41	-0.36452937	-1.2047842	0.19264892	0.6754304	1.0	844	tags=24%, list=7%, signal=26%	
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389		118	-0.29898855	-1.2037696	0.09548611	0.6772295	1.0	1555	tags=25%, list=13%, signal=29%	
INNER EAR DEVELOPMENT%GOBP%GO:0048839	INNER EAR DEVELOPMENT%GOBP%GO:0048839		35	-0.37502408	-1.2027124	0.16753927	0.67913246	1.0	872	tags=23%, list=7%, signal=25%	
EAR DEVELOPMENT%GOBP%GO:0043583	EAR DEVELOPMENT%GOBP%GO:0043583		42	-0.3563751	-1.2025324	0.18067227	0.67815274	1.0	1093	tags=24%, list=9%, signal=26%	
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE		149	-0.2897606	-1.2020459	0.077071294	0.67823285	1.0	1571	tags=23%, list=13%, signal=27%	
NEPHRON TUBULE MORPHOGENESIS%GOBP%GO:0072078	NEPHRON TUBULE MORPHOGENESIS%GOBP%GO:0072078		15	-0.45657557	-1.20103	0.2324263	0.68009305	1.0	380	tags=27%, list=3%, signal=28%	
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS		27	-0.39395472	-1.2008098	0.19629629	0.67918235	1.0	2284	tags=30%, list=19%, signal=36%	
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271		15	-0.46120167	-1.1998947	0.25174013	0.6805719	1.0	1484	tags=33%, list=12%, signal=38%	
RHOJ GTPASE CYCLE%REACTOME DATABASE ID RELEASE 93%9013409	RHOJ GTPASE CYCLE%REACTOME DATABASE ID RELEASE 93%9013409		51	-0.35074276	-1.1997609	0.15006821	0.67938435	1.0	2637	tags=35%, list=22%, signal=45%	
POSITIVE REGULATION OF CILIUM ASSEMBLY%GOBP%GO:0045724	POSITIVE REGULATION OF CILIUM ASSEMBLY%GOBP%GO:0045724		21	-0.42268428	-1.199414	0.22341697	0.6789867	1.0	3666	tags=57%, list=30%, signal=82%	
TISSUE REMODELING%GOBP%GO:0048771	TISSUE REMODELING%GOBP%GO:0048771		22	-0.418883	-1.1984607	0.20293398	0.6805841	1.0	2510	tags=45%, list=21%, signal=57%	
NEGATIVE REGULATION OF AMIDE METABOLIC PROCESS%GOBP%GO:0034249	NEGATIVE REGULATION OF AMIDE METABOLIC PROCESS%GOBP%GO:0034249		20	-0.42858225	-1.1970516	0.22639225	0.68366224	1.0	2289	tags=30%, list=19%, signal=37%	
RND2 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 93%9696270	RND2 GTPASE CYCLE%REACTOME DATABASE ID RELEASE 93%9696270		37	-0.3734657	-1.1950117	0.175	0.6890168	1.0	742	tags=24%, list=6%, signal=26%	
INHIBITION OF GNAQ REGULATED SIGNALING IN UVEAL MELANOMA%WIKIPATHWAYS_20250810%WP5490%HOMO SAPIENS	INHIBITION OF GNAQ REGULATED SIGNALING IN UVEAL MELANOMA%WIKIPATHWAYS_20250810%WP5490%HOMO SAPIENS		24	-0.40807354	-1.1936665	0.19506173	0.691911	1.0	2270	tags=38%, list=19%, signal=46%	
ARTERY DEVELOPMENT%GOBP%GO:0060840	ARTERY DEVELOPMENT%GOBP%GO:0060840		34	-0.37757733	-1.193396	0.20737913	0.6912319	1.0	1487	tags=26%, list=12%, signal=30%	
EPITHELIAL TUBE MORPHOGENESIS%GOBP%GO:0060562	EPITHELIAL TUBE MORPHOGENESIS%GOBP%GO:0060562		90	-0.30944866	-1.1926843	0.11237785	0.69194317	1.0	494	tags=16%, list=4%, signal=16%	
SYNAPTIC SIGNALING ASSOCIATED WITH AUTISM SPECTRUM DISORDER%WIKIPATHWAYS_20250810%WP4539%HOMO SAPIENS	SYNAPTIC SIGNALING ASSOCIATED WITH AUTISM SPECTRUM DISORDER%WIKIPATHWAYS_20250810%WP4539%HOMO SAPIENS		34	-0.37913013	-1.1919711	0.2062893	0.692775	1.0	2232	tags=35%, list=19%, signal=43%	
ARTERY MORPHOGENESIS%GOBP%GO:0048844	ARTERY MORPHOGENESIS%GOBP%GO:0048844		27	-0.39196005	-1.1905302	0.2064277	0.6960245	1.0	1487	tags=30%, list=12%, signal=34%	
RESPONSE TO METAL ION%GOBP%GO:0010038	RESPONSE TO METAL ION%GOBP%GO:0010038		116	-0.30030903	-1.1903902	0.11132438	0.6949134	1.0	2237	tags=29%, list=19%, signal=36%	
BARDET BIEDL SYNDROME%WIKIPATHWAYS_20250810%WP5234%HOMO SAPIENS	BARDET BIEDL SYNDROME%WIKIPATHWAYS_20250810%WP5234%HOMO SAPIENS		65	-0.3268872	-1.1895175	0.15328467	0.6962923	1.0	1890	tags=23%, list=16%, signal=27%	
NEGATIVE REGULATION OF TRANSLATION%GOBP%GO:0017148	NEGATIVE REGULATION OF TRANSLATION%GOBP%GO:0017148		84	-0.31314	-1.1894867	0.1453958	0.69478965	1.0	2603	tags=30%, list=22%, signal=38%	
CELLULAR RESPONSE TO KETONE%GOBP%GO:1901655	CELLULAR RESPONSE TO KETONE%GOBP%GO:1901655		32	-0.37895635	-1.1894639	0.20838627	0.6932653	1.0	1650	tags=28%, list=14%, signal=33%	
RESPONSE TO ZINC ION%GOBP%GO:0010043	RESPONSE TO ZINC ION%GOBP%GO:0010043		16	-0.44255635	-1.1892687	0.2505721	0.69234747	1.0	1625	tags=31%, list=13%, signal=36%	
GLYCEROPHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006650	GLYCEROPHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006650		192	-0.27895728	-1.189166	0.07466064	0.69107425	1.0	1838	tags=21%, list=15%, signal=25%	
DIOL METABOLIC PROCESS%GOBP%GO:0034311	DIOL METABOLIC PROCESS%GOBP%GO:0034311		20	-0.42203316	-1.1878893	0.22248521	0.69384325	1.0	794	tags=20%, list=7%, signal=21%	
NEURAL TUBE DEVELOPMENT%GOBP%GO:0021915	NEURAL TUBE DEVELOPMENT%GOBP%GO:0021915		39	-0.36071023	-1.186999	0.20131579	0.69518614	1.0	1222	tags=18%, list=10%, signal=20%	
HEART CONTRACTION%GOBP%GO:0060047	HEART CONTRACTION%GOBP%GO:0060047		32	-0.37843037	-1.1865239	0.20200753	0.69520247	1.0	2569	tags=41%, list=21%, signal=52%	
CELLULAR RESPONSE TO ALCOHOL%GOBP%GO:0097306	CELLULAR RESPONSE TO ALCOHOL%GOBP%GO:0097306		40	-0.35644805	-1.1860594	0.20184697	0.6951276	1.0	1094	tags=20%, list=9%, signal=22%	
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%5619507	ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME DATABASE ID RELEASE 93%5619507		52	-0.34113473	-1.1856213	0.16292135	0.6950322	1.0	3305	tags=33%, list=27%, signal=45%	
TRANSLESION SYNTHESIS BY REV1%REACTOME%R-HSA-110312.3	TRANSLESION SYNTHESIS BY REV1%REACTOME%R-HSA-110312.3		16	-0.44598958	-1.1853582	0.23206279	0.6943104	1.0	2181	tags=38%, list=18%, signal=46%	
B CELL DIFFERENTIATION%GOBP%GO:0030183	B CELL DIFFERENTIATION%GOBP%GO:0030183		47	-0.34825963	-1.1849183	0.18844567	0.6942214	1.0	1782	tags=28%, list=15%, signal=32%	
REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20250810%WP51%HOMO SAPIENS	REGULATION OF ACTIN CYTOSKELETON%WIKIPATHWAYS_20250810%WP51%HOMO SAPIENS		80	-0.31235138	-1.1846831	0.13535032	0.6934883	1.0	2312	tags=29%, list=19%, signal=35%	
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY		22	-0.4113039	-1.1844025	0.2326139	0.69280785	1.0	737	tags=23%, list=6%, signal=24%	
GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME DATABASE ID RELEASE 93%432722	GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME DATABASE ID RELEASE 93%432722		52	-0.3380128	-1.1842535	0.17167382	0.6917609	1.0	2312	tags=31%, list=19%, signal=38%	
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME DATABASE ID RELEASE 93%5617472	ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME DATABASE ID RELEASE 93%5617472		52	-0.34113473	-1.1831765	0.17614424	0.6938269	1.0	3305	tags=33%, list=27%, signal=45%	
NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902807	NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:1902807		41	-0.35881546	-1.1831483	0.17326057	0.69238025	1.0	988	tags=22%, list=8%, signal=24%	
HEME SIGNALING%REACTOME%R-HSA-9707616.4	HEME SIGNALING%REACTOME%R-HSA-9707616.4		39	-0.3619333	-1.1806399	0.20103092	0.69923836	1.0	2465	tags=33%, list=20%, signal=42%	
LYSOSOME ORGANIZATION%GOBP%GO:0007040	LYSOSOME ORGANIZATION%GOBP%GO:0007040		77	-0.3147849	-1.1805267	0.16253869	0.6980805	1.0	2149	tags=27%, list=18%, signal=33%	
PYRUVATE METABOLISM%REACTOME%R-HSA-70268.10	PYRUVATE METABOLISM%REACTOME%R-HSA-70268.10		39	-0.36296457	-1.1799418	0.18710493	0.6984379	1.0	1890	tags=28%, list=16%, signal=33%	
DNA REPLICATION%WIKIPATHWAYS_20250810%WP466%HOMO SAPIENS	DNA REPLICATION%WIKIPATHWAYS_20250810%WP466%HOMO SAPIENS		32	-0.37411258	-1.17961	0.21176471	0.69804686	1.0	3699	tags=44%, list=31%, signal=63%	
POSITIVE REGULATION OF CYTOKINESIS%GOBP%GO:0032467	POSITIVE REGULATION OF CYTOKINESIS%GOBP%GO:0032467		33	-0.3726513	-1.177559	0.19094247	0.7033541	1.0	2062	tags=30%, list=17%, signal=36%	
LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171		77	-0.3147849	-1.1775112	0.16329704	0.70197636	1.0	2149	tags=27%, list=18%, signal=33%	
