NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	0.8103035	2.9379714	0.0	0.0	0.0	641	tags=44%, list=5%, signal=46%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	135	0.7706361	2.8005826	0.0	0.0	0.0	826	tags=45%, list=7%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	77	0.8250745	2.7290325	0.0	0.0	0.0	709	tags=55%, list=6%, signal=58%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	Details ...	60	0.8226509	2.6165571	0.0	0.0	0.0	699	tags=47%, list=6%, signal=49%	
NETWORK MAP OF SARS COV 2 SIGNALING%WIKIPATHWAYS_20250810%WP5115%HOMO SAPIENS	NETWORK MAP OF SARS COV 2 SIGNALING%WIKIPATHWAYS_20250810%WP5115%HOMO SAPIENS	Details ...	136	0.71110266	2.5643203	0.0	0.0	0.0	973	tags=31%, list=8%, signal=33%	
PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20250810%WP3617%HOMO SAPIENS	PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20250810%WP3617%HOMO SAPIENS	Details ...	26	0.9343195	2.5386171	0.0	0.0	0.0	227	tags=54%, list=2%, signal=55%	
INFLAMMATORY RESPONSE%GOBP%GO:0006954	INFLAMMATORY RESPONSE%GOBP%GO:0006954	Details ...	167	0.6825566	2.5063434	0.0	0.0	0.0	937	tags=31%, list=8%, signal=33%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	Details ...	110	0.71638393	2.4992523	0.0	0.0	0.0	670	tags=35%, list=6%, signal=37%	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20250810%WP5095%HOMO SAPIENS	OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20250810%WP5095%HOMO SAPIENS	Details ...	40	0.8472497	2.4907925	0.0	0.0	0.0	737	tags=58%, list=6%, signal=61%	
SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20250810%WP15%HOMO SAPIENS	SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20250810%WP15%HOMO SAPIENS	Details ...	36	0.85461485	2.4766479	0.0	0.0	0.0	199	tags=39%, list=2%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP%MSIGDBHALLMARK%HALLMARK_KRAS_SIGNALING_UP	Details ...	105	0.69763935	2.436245	0.0	0.0	0.0	560	tags=32%, list=5%, signal=34%	
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	Details ...	55	0.76593524	2.4169996	0.0	0.0	0.0	563	tags=38%, list=5%, signal=40%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	40	0.8141753	2.4136467	0.0	0.0	0.0	563	tags=45%, list=5%, signal=47%	
SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20250810%WP5039%HOMO SAPIENS	SARS COV 2 INNATE IMMUNITY EVASION AND CELL SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20250810%WP5039%HOMO SAPIENS	Details ...	46	0.78581357	2.4118655	0.0	0.0	0.0	407	tags=35%, list=3%, signal=36%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	152	0.66219705	2.4089715	0.0	0.0	0.0	1253	tags=34%, list=10%, signal=38%	
CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221	CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221	Details ...	187	0.6460168	2.4075153	0.0	0.0	0.0	1438	tags=32%, list=12%, signal=35%	
CYTOKINE CYTOKINE RECEPTOR INTERACTION%WIKIPATHWAYS_20250810%WP5473%HOMO SAPIENS	CYTOKINE CYTOKINE RECEPTOR INTERACTION%WIKIPATHWAYS_20250810%WP5473%HOMO SAPIENS	Details ...	90	0.69990623	2.3783598	0.0	0.0	0.0	786	tags=32%, list=7%, signal=34%	
